accel	calm	decel	driver_num	driver_trip	trip_num	vR	prob
3.44189874624764	0.7763157894736842	-0.11039685733585358	1.0	1_1	1.0	5.346026561849531	1
2.575149477504617	0.48243559718969553	-0.07351367704049805	1.0	1_2	2.0	6.600757532283155	1
1.8095807495893617	0.550561797752809	-0.016552506059755112	1.0	1_3	3.0	6.107372593841011	1
2.9357051448070264	0.5029585798816568	-0.12136644620677828	1.0	1_4	4.0	5.70087712549569	1
1.7074253194858073	0.5698924731182796	-0.0742876991117214	1.0	1_5	5.0	4.657252408878004	1
1.8610652465894537	0.6575342465753424	-0.01548607653529288	1.0	1_6	6.0	5.080354318352211	1
0.9308930652540237	0.6785714285714286	-0.05078471624452163	1.0	1_7	7.0	7.353910524340046	1
2.4189366695690513	0.65	-0.023369915524110496	1.0	1_8	8.0	4.410215414240015	1
0.24589135546278884	0.6405228758169934	-0.04167171248585699	1.0	1_9	9.0	6.146543744251749	1
0.5560012518674355	0.6451612903225806	-0.6778657066874683	1.0	1_10	10.0	2.47588368062799	0
2.4094737229730185	0.4452296819787986	-0.0611520335486464	1.0	1_11	11.0	6.080296045424113	1
2.055505295880236	0.6304347826086957	-0.01583470898328887	1.0	1_12	12.0	5.556977595779888	1
1.9068734121047948	0.3958333333333333		1.0	1_13	13.0	2.879236009777593	1
	0.5		1.0	1_14	14.0		1
1.1519098571707183	0.6959459459459459	-0.1682083085534707	1.0	1_15	15.0	4.924428900898101	1
2.3681846839197966	0.5630354957160343	-0.03057542046023798	1.0	1_16	16.0	5.883026432033096	1
1.763944849590228	0.6397849462365591	-0.19961732927035492	1.0	1_17	17.0	5.798275605729722	1
2.255100064752831	0.6190476190476191	-0.06876789930965455	1.0	1_18	18.0	6.503076195155644	1
1.9223906626547826	0.5867158671586716	-0.026052507302643413	1.0	1_19	19.0	5.536244214266559	1
2.1589444969972797	0.6812865497076024	-0.016496103694469078	1.0	1_20	20.0	5.6859475903319145	1
	0.5	-0.10498756211208837	1.0	1_21	21.0	1.360147050873545	0
1.476704048469732	0.4868421052631579	-0.06721489305839334	1.0	1_22	22.0	5.510898293381924	1
