,driver_num,track_num,v,a,v_r,accel,bad
0,2.0,1.0,15.977749152672919,0.6819224153971852,5.833563850999457,0.8183024079249943,0.0
111,2.0,2.0,19.746365176525124,0.758362537398015,6.63248940430489,0.619350156862172,0.0
123,2.0,3.0,17.600247235692407,0.7099605205869661,7.981562151005656,0.8265780711814656,0.0
134,2.0,4.0,,,,,1.0
145,2.0,5.0,21.289758600112318,0.7515465090389206,7.43215765112513,1.027885814724998,0.0
156,2.0,6.0,19.49445046851009,0.6240942034004533,7.828145545371021,0.6795425482093087,0.0
167,2.0,7.0,,,,,1.0
178,2.0,8.0,17.893862833545843,0.6434155165348265,6.554266346186646,0.6434155165348265,0.0
189,2.0,9.0,19.094897652810477,0.7615490957455755,6.306867704366234,0.8596284405629415,0.0
1,2.0,10.0,2.9568427536120145,1.0911772314254309,4.86774707781492,1.0911772314254309,0.0
12,2.0,11.0,17.105959616030184,1.0061982186463299,7.759321391149309,1.0262833291692086,0.0
23,2.0,12.0,19.75046213043459,0.5886239587185766,2.5172223985343396,0.6821629223655545,0.0
34,2.0,13.0,17.13811481603336,0.5492220644836898,7.046489639343386,0.5632643028591193,0.0
45,2.0,14.0,7.9766041274335695,1.0756924748743462,6.780340466554732,1.0756924748743462,0.0
56,2.0,15.0,11.830046426183578,1.0661198258671796,7.67512531026956,0.9911322445699584,0.0
67,2.0,16.0,24.044457674442807,0.5519456913306442,6.037563255737969,0.784514306884029,0.0
78,2.0,17.0,20.05253807813576,0.6434065728420144,8.048297210836347,0.8125121196220455,0.0
89,2.0,18.0,8.545960952586885,0.7304546155351241,5.850310085432962,0.9305106507641199,0.0
100,2.0,19.0,19.944360555240177,0.6847626513452987,5.54040921430936,0.8577840871581417,0.0
112,2.0,20.0,17.68540841016035,0.6389089147073079,7.960140793254868,0.6389089147073079,0.0
114,2.0,21.0,13.070221945624679,1.2756768335206168,6.02894687224144,1.2217727684849606,0.0
115,2.0,22.0,17.874120787587085,0.7618665103008535,5.307432988780211,0.9240569487543215,0.0
116,2.0,23.0,20.944360984582875,0.6511650476394699,9.20702415041054,0.6581295940205791,0.0
117,2.0,24.0,20.073253615212213,0.5868099842167069,6.7783437119905035,0.8874476595559422,0.0
118,2.0,25.0,19.550750904238182,0.6791132479296742,6.688861855029699,0.8709182669706754,0.0
119,2.0,26.0,20.278778321454663,0.6516681701132203,7.019949626746842,0.7219105425766408,0.0
120,2.0,27.0,18.933531048215116,0.5826968748847658,6.251550899663587,0.5563642604614394,0.0
121,2.0,28.0,19.81489770728217,0.7161030183836914,6.739055474268851,0.7177318275776567,0.0
122,2.0,29.0,19.63719736098655,0.7671261160610925,6.571457062833611,0.8750477519296318,0.0
124,2.0,30.0,12.418377461675782,1.2028113406223087,7.742911623810066,1.0436834062601026,0.0
125,2.0,31.0,16.496521908554968,0.6169720902643228,7.000905925231621,0.7018062480614571,0.0
126,2.0,32.0,19.059209106732364,0.6509234095539753,6.59274463224599,0.6547110952712334,0.0
127,2.0,33.0,30.381248764857233,1.3369773634125348,6.25602625341652,1.3369773634125348,0.0
128,2.0,34.0,19.399759483343605,0.8214866795215077,14.529470836528839,0.892166101665218,0.0
129,2.0,35.0,6.157442109808463,0.637036372581198,5.732977515308864,0.4355617807812493,0.0
