a	accel	calm	decel	driver_num	driver_trip	nerv_a	nerv_ang	s	trip_num	vR	prob
1.7350683889236889	0.7332047045523851	0.8492063492063492	0.0	0.0	0_1	0.12236842105263158	0.10868715104231869	11964.070511755202	1.0	4.675467891024361	1
1.1551081790865059	1.3504735562150287	0.5482233502538071	-0.2655764073058027	0.0	0_2	0.24119241192411925	0.2997510241066328	7293.712393004399	2.0	6.46606526413088	1
1.1708320320632515	1.1805172990513597	0.6099585062240664	-0.20349325040922306	0.0	0_3	0.13660477453580902	0.39888546737960906	2800.1519000433163	3.0	4.808326112068551	1
2.1022341665919937	2.4695344686749046	0.6285714285714286	0.0	0.0	0_4	0.11224489795918367	0.37511249157884746	1808.6984746033613	4.0	5.100000000000043	1
1.41179440555163	1.6186815668981351	0.6419753086419753	-0.0742876991117214	0.0	0_5	0.1526479750778816	0.2286631353538203	1700.5325424799964	5.0	6.080296045424178	1
1.32528190881946	1.32528190881946	0.7166666666666667	-0.3603459234394455	0.0	0_6	0.07588532883642496	0.4038098159310259	1719.1883013390045	6.0	4.9929950931278775	1
1.7901587810005797	0.9308930652540237	0.7446808510638298	-0.05078471624452163	0.0	0_7	0.16447368421052633	0.3779265001646392	1096.3492891790233	7.0	6.811754546370611	1
1.7027756377320855	2.12221260697562	0.7035398230088495	-0.023369915524110496	0.0	0_8	0.15938864628820962	0.372115948376995	2849.6360146843226	8.0	4.441846462902723	1
1.1401573252927317	0.0	0.6428571428571429	-0.04167171248585699	0.0	0_9	0.225130890052356	0.31294511777928	1344.7272938641308	9.0	5.360037313302882	1
1.6606445977538788	0.5560012518674355	0.7590361445783133	0.0	0.0	0_10	0.1201923076923077	0.49946092346792387	748.9549550798429	10.0	2.4000000000000057	1
1.3840702488425236	1.6485292703891758	0.5473251028806584	-0.24504626390666484	0.0	0_11	0.1626984126984127	0.5293755321154959	2905.6020022673806	11.0	4.589117562233502	1
2.0455996254682454	2.055505295880236	0.6917808219178082	-0.5656587259359984	0.0	0_12	0.140625	0.203316337859172	1477.3843780654552	12.0	5.556977595779888	1
1.3927311325233074	1.9068734121047948	0.5813953488372093	0.0	0.0	0_13	0.19230769230769232	0.5627910410982367	572.3003831092849	13.0	3.195309061734091	1
0.0	0.0	0.5	0.0	0.0	0_14	0.01953125	0.5954315995736703	27.059680818990387	14.0	0.0	1
